timestamp,git_commit,allocator,num_threads,mean_time_ns,std_dev_ns,turns_per_sec,bytes_per_turn,mean_time_ci_lower_ns,mean_time_ci_upper_ns
2025-11-05T20:01:38.565055,842fcd99,system,1,40752.57528530683,80.41649073719731,98153.3061897608,0.0,40710.02829249929,40805.231580038264
2025-11-05T20:01:46.571918,842fcd99,mimalloc,1,30806.588347481604,103.31604441148279,129842.35563127504,0.0,30746.21756713356,30868.12499780702
2025-11-05T20:01:54.719655,842fcd99,jemalloc,1,31844.464254107494,106.07416342371796,125610.52897864519,0.0,31790.670484126982,31914.187140350878
