timestamp,git_commit,git_depth,git_branch,git_dirty,benchmark_name,seed,num_games,total_turns,total_actions,total_duration_ms,avg_turns_per_game,avg_actions_per_game,avg_duration_ms_per_game,games_per_sec,actions_per_sec,turns_per_sec,actions_per_turn,total_bytes_allocated,total_bytes_deallocated,net_bytes,avg_bytes_per_game,bytes_per_turn,bytes_per_sec
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,fresh,42,65278,456946,12598654,12582.076983000,7.00,193.00,0,5188.17,1001317.51,36317.22,27.57,19969715204,11183819465,8785895739,305918.00,43702.57,1587155700.21
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,fresh_with_logging,42,49603,347221,9573379,13199.539386000,7.00,193.00,0,3757.93,725281.29,26305.54,27.57,15439231368,8605922469,6833308899,311256.00,44465.14,1169679555.97
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,fresh_with_stdout_logging,42,52903,370321,10210279,14034.565711000,7.00,193.00,,3769.48,727509.44,26386.35,27.57,16298779464,9178459269,7120320195,308088.00,44012.57,1161331230.31
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,snapshot,42,204520,1431640,39472360,12725.312087000,7.00,193.00,0,16071.90,3101877.56,112503.33,27.57,41792025840,17251262381,24540763459,204342.00,29191.71,3284165099.79
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,rewind,42,228610,4114980,48567876,1170.70322000,18.00,212.45,0,195275.79,41486070.23,3514964.28,11.80,14902824,491793192,-476890368,65.19,3.62,12729805.25
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,old_school:_mono_black_vs_the_deck,42,16635,532320,13740510,13186.391685000,32.00,826.00,0,1261.53,1042021.98,40368.89,25.81,20758018020,17096577524,3661440496,1247852.00,38995.38,1574200017.40
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,old_school:_white_weenie_mirror,42,12180,682080,15980160,15019.591198000,56.00,1312.00,1.23,810.94,1063954.39,45412.69,23.43,24869367600,21053306253,3816061347,2041820.00,36461.07,1655795239.17
2025-11-02T20:33:13Z,1f600d0,584,main,_dirty,old_school:_jeskai_aggro_vs_troll_disk,42,13445,524355,11307245,14311.761859000,39.00,841.00,1.06,939.44,790066.60,36638.05,21.56,23992145370,21005362684,2986782686,1784466.00,45755.54,1676393557.02
2025-11-02T22:48:37Z,d071ccf,593,main,_dirty,fresh,42,67533,472731,13033869,12434.8203000,7.00,193.00,0,5430.96,1048175.10,38016.71,27.57,16456036242,7313959163,9142077079,243674.00,34810.57,1323383518.62
2025-11-02T22:48:37Z,d071ccf,593,main,_dirty,fresh_with_logging,42,50538,353766,9753834,13096.173871000,7.00,193.00,0,3858.99,744785.01,27012.93,27.57,12584568456,5583031757,7001536699,249012.00,35573.14,960934741.70
2025-11-02T22:48:37Z,d071ccf,593,main,_dirty,fresh_with_stdout_logging,42,53123,371861,10252739,13891.943787000,7.00,193.00,,3824.01,738034.88,26768.10,27.57,13059970812,5868604437,7191366375,245844.00,35120.57,940111118.52
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,fresh,42,67533,472731,13033869,12517.402737000,7.00,193.00,0,5395.13,1041259.86,37765.90,27.57,16456036242,7313958523,9142077719,243674.00,34810.57,1314652615.06
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,fresh_with_logging,42,51528,360696,9944904,12929.062164000,7.00,193.00,0,3985.44,769189.90,27898.08,27.57,12831090336,5692399677,7138690659,249012.00,35573.14,992422356.18
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,fresh_with_stdout_logging,42,53508,374556,10327044,13862.627224000,7.00,193.00,,3859.87,744955.76,27019.12,27.57,13154620752,5911134237,7243486515,245844.00,35120.57,948926963.08
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,snapshot,42,232295,1626065,44832935,12083.787464000,7.00,193.00,0,19223.69,3710172.42,134565.84,27.57,33008654910,4953923354,28054731556,142098.00,20299.71,2731648087.02
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,rewind,42,262270,4720860,55709785,1333.208024000,18.00,212.41,0,196720.99,41786265.91,3540977.79,11.80,17091992,564035736,-546943744,65.17,3.62,12820198.87
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,old_school:_mono_black_vs_the_deck,42,22656,724992,18713856,15346.456171000,32.00,826.00,0,1476.30,1219425.24,47241.66,25.81,18376915968,13372551836,5004364132,811128.00,25347.75,1197469680.51
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,old_school:_white_weenie_mirror,42,13885,777560,18217120,13964.342945000,56.00,1312.00,1.01,994.32,1304545.45,55681.82,23.43,17352140040,12991062203,4361077837,1249704.00,22316.14,1242603401.27
2025-11-02T22:49:59Z,d071ccf,593,main,_dirty,old_school:_jeskai_aggro_vs_troll_disk,42,15095,588705,12694895,13510.705273000,39.00,841.00,0,1117.26,939617.49,43573.22,21.56,19092850370,15726597620,3366252750,1264846.00,32431.95,1413164596.83
2025-11-02T23:22:17Z,0cfe253,594,main,_dirty,fresh,42,67478,472346,13023254,12483.541459000,7.00,193.00,0,5405.36,1043233.93,37837.50,27.57,16442634172,7308001833,9134632339,243674.00,34810.57,1317144996.55
2025-11-02T23:22:17Z,0cfe253,594,main,_dirty,fresh_with_logging,42,52023,364161,10040439,12929.588108000,7.00,193.00,0,4023.56,776547.48,28164.93,27.57,12954351276,5747085237,7207266039,249012.00,35573.14,1001915232.55
2025-11-02T23:22:17Z,0cfe253,594,main,_dirty,fresh_with_stdout_logging,42,53618,375326,10348274,13805.294628000,7.00,193.00,,3883.87,749587.33,27187.11,27.57,13181663592,5923288533,7258375059,245844.00,35120.57,954826676.81
2025-11-02T23:22:17Z,0cfe253,594,main,_dirty,snapshot,42,228445,1599115,44089885,12611.422462000,7.00,193.00,0,18114.13,3496027.92,126798.94,27.57,32461577610,4871818451,27589759159,142098.00,20299.71,2573982253.61
2025-11-02T23:22:17Z,0cfe253,594,main,_dirty,rewind,42,236750,4261500,50294334,1230.776621000,18.00,212.44,0,192358.22,40863901.01,3462447.96,11.80,15432592,509275616,-493843024,65.19,3.62,12538905.71
2025-11-02T23:22:17Z,0cfe253,594,main,_dirty,old_school:_mono_black_vs_the_deck,42,22601,723232,18668426,15427.994275000,32.00,826.00,0,1464.93,1210035.84,46877.90,25.81,18332303928,13340089726,4992214202,811128.00,25347.75,1188249334.37
