timestamp,git_commit,git_depth,cpu,canonical_name,kind,runs,fails,timeouts,flakiness_pct,classification,issue,concurrency,notes
2026-05-29T09:09:16Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_human_input,wasm_e2e,3,3,0,100.0,true-nondeterministic,,2,
2026-05-29T09:10:17Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_click_and_log,wasm_e2e,3,3,0,100.0,true-nondeterministic,,2,
2026-05-29T09:11:17Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_font_size_layout,wasm_e2e,3,3,0,100.0,true-nondeterministic,,2,
2026-05-29T09:12:17Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_card_size_stability,wasm_e2e,3,3,0,100.0,true-nondeterministic,,2,
2026-05-29T09:13:17Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_battlefield_layout,wasm_e2e,3,3,0,100.0,true-nondeterministic,,2,
2026-05-29T09:14:18Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_tapped_rotation,wasm_e2e,3,3,0,100.0,true-nondeterministic,,2,
2026-05-29T09:15:18Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_graveyard_overlay,wasm_e2e,3,3,0,100.0,true-nondeterministic,,2,
2026-05-29T09:20:35Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_fancy_tui,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:20:45Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_human_input,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:21:13Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_click_and_log,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:21:27Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_font_size_layout,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:21:41Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_card_size_stability,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:21:55Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_battlefield_layout,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:22:08Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_tapped_rotation,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:22:24Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.wasm_e2e.test_graveyard_overlay,wasm_e2e,3,0,0,0.0,deterministic-pass,,2,
2026-05-29T09:37:59Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.network_e2e.01_rogue_rogerbrand.3,network_e2e,10,0,0,0.0,known-desync,mtg-589,1,
2026-05-29T09:40:45Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.network_e2e.monored.13,network_e2e,10,0,0,0.0,known-desync,mtg-589,1,
2026-05-29T09:56:00Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.network_e2e.white_weenie.7,network_e2e,10,0,0,0.0,known-desync,mtg-273,1,
2026-05-29T09:56:25Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.mtg-engine--determinism_e2e.test_deck_determinism__counterspells,cargo,5,0,0,0.0,timeout-under-load,,1,
2026-05-29T09:56:50Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.mtg-engine--determinism_e2e.test_deck_determinism__grizzly_bears,cargo,5,0,0,0.0,timeout-under-load,,1,
2026-05-29T09:57:15Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.mtg-engine--determinism_e2e.test_deck_determinism__combat_test_4ed,cargo,5,0,0,0.0,timeout-under-load,,1,
2026-05-29T09:58:33Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.mtg-engine--determinism_e2e.test_deck_determinism__counterspells,cargo,5,0,0,0.0,deterministic-pass,,1,
2026-05-29T09:58:58Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.mtg-engine--determinism_e2e.test_deck_determinism__grizzly_bears,cargo,5,0,0,0.0,deterministic-pass,,1,
2026-05-29T09:59:23Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.mtg-engine--determinism_e2e.test_deck_determinism__combat_test_4ed,cargo,5,0,0,0.0,deterministic-pass,,1,
2026-05-29T10:26:04Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.network_e2e.01_rogue_rogerbrand.3,network_e2e,20,0,0,0.0,deterministic-pass,,1,
2026-05-29T10:31:30Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.network_e2e.monored.13,network_e2e,20,0,0,0.0,deterministic-pass,,1,
2026-05-29T10:51:31Z,eff46373,2427,AMD_Ryzen_7_9800X3D_8-Core_Processor,validate.network_e2e.white_weenie.7,network_e2e,20,0,0,0.0,deterministic-pass,,1,
