timestamp,git_commit,git_depth,git_branch,git_dirty,benchmark_name,seed,num_threads,num_games,total_turns,total_actions,total_duration_ms,avg_turns_per_game,avg_actions_per_game,avg_duration_ms_per_game,games_per_sec,actions_per_sec,turns_per_sec,actions_per_turn,total_bytes_allocated,total_bytes_deallocated,net_bytes,avg_bytes_per_game,bytes_per_turn,bytes_per_sec
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/fresh_games,43,1,4850,41927,3039732,1818.201183000,8.64,626.75,0,2667.47,1671834.79,23059.60,72.50,274805987,274592423,213564,56661.03,6554.39,151141683.09
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/mem_logging_rewind_play_again,43,1,2910,24661,1785822,1623.805047000,8.47,613.68,0,1792.09,1099776.11,15187.17,72.41,576649612,373912039,202737573,198161.38,23383.06,355122441.00
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/stdout_logging_rewind_play_again,43,1,2200,18851,1366099,1758.467285000,8.57,620.95,0,1251.09,776869.16,10720.13,72.47,311810704,307083956,4726748,141732.14,16540.80,177319593.41
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/snapshot_games,43,1,4820,41705,3023476,1816.247288000,8.65,627.28,0,2653.82,1664683.01,22962.18,72.50,273317126,273103522,213604,56704.80,6553.58,150484533.58
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,rewind,42,1,23481,422658,33070377,1045.084246000,18.00,1408.39,0,22468.05,31643742.72,404424.81,78.24,1790884,15014693,-13223809,76.27,4.24,1713626.44
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/rewind_play_again,43,1,4800,41570,3013442,1794.059987000,8.66,627.80,0,2675.50,1679677.39,23170.91,72.49,272392508,272178936,213572,56748.44,6552.62,151830211.91
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/4x_par_rewind_play_again,43,1,13530,116823,8469211,1971.241207000,8.63,625.96,0,6863.70,4296384.92,59263.68,72.50,3048997708,3052647730,-3650022,225350.90,26099.29,1546740042.35
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/4x_pinned_par_rewind_play_again,43,1,17360,150836,10931175,1739.51873000,8.69,629.68,0,9979.77,6284022.59,86711.34,72.47,3917488659,3919307921,-1819262,225661.79,25971.84,2252053163.58
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/32x_par_rewind_play_again,43,1,17690,152806,11034184,1449.236252000,8.64,623.75,0,12206.43,7613792.43,105438.99,72.21,28083198156,28449770805,-366572649,1587518.27,183783.35,19377929662.78
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,robots_mirror/32x_pinned_par_rewind_play_again,43,1,18490,159760,11540833,1335.516717000,8.64,624.17,0,13844.83,8641474.01,119624.11,72.24,32747627822,33052755303,-305127481,1771099.40,204980.14,24520567511.55
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,monoblack_thedeck/rewind_play_again,43,1,60470,63330,2443716,1455.665604000,1.05,40.41,0,41541.13,1678761.93,43505.87,38.59,318572334,318144182,428152,5268.27,5030.35,218849942.68
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,whiteweenie_mirror/rewind_play_again,43,1,4490,132202,3900967,1778.840158000,29.44,868.81,0,2524.12,2192983.43,74319.21,29.51,170766921,170340073,426848,38032.72,1291.71,95999025.11
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,jeskai_trolldisk/rewind_play_again,43,1,5570,69860,3958350,1810.925199000,12.54,710.66,0,3075.78,2185816.40,38576.97,56.66,272622942,272392546,230396,48944.87,3902.42,150543458.20
2026-05-11T01:17:58Z,0219d3db,2170,improve-agentplay,,simple_bolt/rewind_play_again,43,1,61580,184892,7334078,1803.159957000,3.00,119.10,0,34151.16,4067347.42,102537.77,39.67,107897852,107870988,26864,1752.16,583.57,59838203.25
