timestamp,git_commit,allocator,num_threads,mean_time_ns,std_dev_ns,turns_per_sec,bytes_per_turn,mean_time_ci_lower_ns,mean_time_ci_upper_ns
2025-11-05T14:03:23.002003,a75fd1a3,system,1,85.44734034100195,0.6714609085679055,11703114.409520708,0.0,85.04974859571443,85.82388466149752
2025-11-05T14:03:36.879787,a75fd1a3,system,2,51.393587754398126,0.7307501609477031,19457680.300095856,0.0,50.952174501890326,51.80595648286717
2025-11-05T14:03:51.887683,a75fd1a3,system,3,34.333998056467145,0.2956653809981304,29125649.694374587,0.0,34.17587201505347,34.51502465744413
2025-11-05T14:04:05.749017,a75fd1a3,system,4,26.03716498827212,0.2403720454149929,38406639.14256519,0.0,25.89418356526567,26.177232224772467
2025-11-05T14:04:21.862905,a75fd1a3,system,5,21.03431626889033,0.14110787289490684,47541359.90048776,0.0,20.94513913495827,21.10760420352223
2025-11-05T14:04:37.321658,a75fd1a3,system,6,18.438575492350502,0.46431193519835745,54234124.56210969,0.0,18.16662459823302,18.71496671988277
2025-11-05T14:04:52.593241,a75fd1a3,system,7,18.14183099168884,0.19899814922237682,55121227.86603631,0.0,18.02279779407677,18.25563341719438
2025-11-05T14:05:07.954160,a75fd1a3,system,8,18.24415521249845,0.004485124174783418,54812074.790666886,0.0,18.24166016346792,18.24685587376473
2025-11-05T14:05:22.561421,a75fd1a3,system,9,30.99372952216847,0.7179995439495278,32264590.787137877,0.0,30.55425029467054,31.40247356310858
2025-11-05T14:05:36.625301,a75fd1a3,system,10,27.887529814158363,0.7488291819863122,35858321.14439569,0.0,27.44710208137372,28.31383430439073
2025-11-05T14:05:50.411832,a75fd1a3,system,11,25.5080436598019,0.6580881192853717,39203320.07177403,0.0,25.096072356775267,25.8733744327216
2025-11-05T14:06:04.111504,a75fd1a3,system,12,24.513733558318823,0.5956499916985922,40793459.61809422,0.0,24.154180020643704,24.853509156156367
2025-11-05T14:06:17.923168,a75fd1a3,system,13,25.75840296949251,1.122860634204231,38822282.62304811,0.0,25.18400114958747,26.472713619107406
2025-11-05T14:06:31.881153,a75fd1a3,system,14,26.56257722130178,1.1981050561846518,37646949.37801641,0.0,25.927668296986536,27.309423771181542
2025-11-05T14:06:45.736157,a75fd1a3,system,15,27.074715266683135,0.7304422910428493,36934829.79045592,0.0,26.653045597043757,27.50193709459067
2025-11-05T14:06:59.755376,a75fd1a3,system,16,27.342791942595188,0.43720585824470765,36572709.988776915,0.0,27.092886208160667,27.597719599380987
2025-11-05T14:07:14.378448,a75fd1a3,system,17,31.39795015784071,0.5894276111078384,31849212.92545843,0.0,31.032442545503166,31.717105814415646
2025-11-05T14:07:28.634210,a75fd1a3,system,18,29.51351562169516,0.703813205728743,33882781.46250078,0.0,29.113694750307765,29.936954879990928
2025-11-05T14:07:42.800226,a75fd1a3,system,19,28.143955609265344,0.5590606953397538,35531608.06119192,0.0,27.79122842559118,28.460030337711835
2025-11-05T14:07:56.879200,a75fd1a3,system,20,27.31158300478515,0.6625626276126597,36614501.613648474,0.0,26.93686916634446,27.69539666273599
2025-11-05T14:08:10.736208,a75fd1a3,system,21,27.380386007270534,0.5769344584333893,36522494.59647727,0.0,27.085014249120103,27.737074170171915
2025-11-05T14:08:24.714751,a75fd1a3,system,22,27.522021546817093,0.6255190611339765,36334540.26256474,0.0,27.161746976455028,27.900211510193646
2025-11-05T14:08:38.828896,a75fd1a3,system,23,27.416747651146814,0.5567588783865818,36474056.39516732,0.0,27.08859971084987,27.74334837191855
2025-11-05T14:08:52.775129,a75fd1a3,system,24,27.197368181205537,0.34920506647774896,36768263.507608056,0.0,26.997566004670574,27.394833501715414
2025-11-05T14:09:07.064352,a75fd1a3,system,25,29.71943084460937,0.4298719828324039,33648019.88398052,0.0,29.491187799619404,29.98766793555886
2025-11-05T14:09:21.316604,a75fd1a3,system,26,28.658145891753428,0.5660607382467306,34894092.72243801,0.0,28.34270006309898,28.999987303755933
2025-11-05T14:09:35.392984,a75fd1a3,system,27,27.81434074200439,0.4661725168972839,35952676.688462,0.0,27.542131600083206,28.091476588532363
2025-11-05T14:09:49.383628,a75fd1a3,system,28,27.10068978238824,0.4937283546440641,36899429.79421372,0.0,26.824857369261807,27.396852582376624
2025-11-05T14:10:03.338458,a75fd1a3,system,29,27.254552637128548,0.4101065617853272,36691117.74880913,0.0,27.02920688293731,27.49974412165364
2025-11-05T14:10:17.312535,a75fd1a3,system,30,27.52291298448815,0.4901345897573918,36333363.42572451,0.0,27.229510158152188,27.803128823444705
2025-11-05T14:10:31.353030,a75fd1a3,system,31,27.462063889882,0.410084208477028,36413869.11085133,0.0,27.218443827991525,27.699446142109196
2025-11-05T14:10:45.401693,a75fd1a3,system,32,27.2388629301776,0.34473549684382476,36712251.99683766,0.0,27.042813690912418,27.46124423709739
2025-11-05T14:10:58.118318,a75fd1a3,system,48,20.842982056781814,0.838436278220014,47977779.63228748,0.0,20.357651818806254,21.343540983577544
